Name,Email,Sent Messages (Baseline),Received Messages (Baseline),Recipients in Sent Messages (Baseline),Bcc Recipients in Sent Messages (Baseline),Cc Recipients in Sent Messages (Baseline),Read Later (in hours) (Baseline),Days between Received and Read (Baseline),Replies to Messages (Baseline),Characters in Outgoing Messages (Baseline),Messages Outside Working Hours (Baseline),Received/Sent Ratio (Baseline),Bytes Received and Sent Ratio (Baseline),Unanswered Questions (Baseline),Sent Messages (Comparison),Received Messages (Comparison),Recipients in Sent Messages (Comparison),Bcc Recipients in Sent Messages (Comparison),Cc Recipients in Sent Messages (Comparison),Read Later (in hours) (Comparison),Days between Received and Read (Comparison),Replies to Messages (Comparison),Characters in Outgoing Messages (Comparison),Messages Outside Working Hours (Comparison),Received/Sent Ratio (Comparison),Bytes Received and Sent Ratio (Comparison),Unanswered Questions (Comparison),Probability of Leaving
Mary Riley,arose@example.net,308,193,1,3,1,5,6,19,359,8,1.346001242394048,0.7475775855744036,1,318,165,9,2,1,3,2,11,371,8,0.657413670175677,1.3770149920131363,0,1
Kendra Lee DDS,mgonzalez@example.org,229,230,2,1,3,6,6,20,346,3,1.0832109535683054,1.316732611122696,4,251,210,1,3,4,2,1,4,263,4,1.3677245010240777,0.6681898258644259,3,0
Daniel Wright,washingtondaniel@example.com,271,249,9,4,3,7,5,9,367,0,1.2094916818558707,0.5485011810810336,0,302,227,3,4,4,2,6,22,309,4,1.234585902967501,1.770320252564226,3,1
Traci Rodriguez,cortezmarilyn@example.net,355,194,7,1,3,3,3,22,234,7,1.3482099419763058,1.020148023225768,2,268,181,6,0,0,0,1,11,262,6,1.1570318070080423,1.7369060525118463,3,1
Keith Stewart,alexandria88@example.net,374,178,12,2,0,6,1,11,315,3,0.7845534184332997,1.903087454227047,3,243,171,2,0,3,1,2,13,331,1,1.2446218525427952,0.6675815851264684,1,0
Daniel Cobb,georgeoneill@example.org,242,231,14,4,0,9,6,2,344,0,0.5584649411731102,1.0764100549141,3,250,210,14,1,2,0,4,21,363,6,1.9578623772660582,1.8630983929661054,0,1
Edward Chang,mmoore@example.org,319,244,2,3,2,8,4,16,348,8,1.5891482873331477,1.5215628895731932,1,270,197,9,1,2,6,6,10,235,9,1.2802273732493368,0.5112806833261008,1,0
Jamie Stein,wattsnicholas@example.org,311,244,2,0,4,7,6,29,346,3,1.3674269511937642,1.264167018885089,3,188,251,14,0,3,8,2,16,297,7,1.8642891098144987,1.261283099687299,4,0
Kristin Bush,ple@example.com,231,200,13,0,0,8,2,18,243,3,1.0641791230290385,1.808046191110195,3,355,263,11,4,3,7,5,0,227,4,1.48851873306625,1.8116025928197166,0,0
Erin Arellano,rkelly@example.com,321,178,4,4,0,5,1,8,211,5,1.9838710797244723,1.4075267152663302,4,295,236,12,4,4,6,3,10,268,0,1.739374560636103,1.985498100833898,3,0
Karen Bates,bevans@example.net,364,234,10,0,2,1,3,22,347,2,1.8607225936286733,0.9794990074829489,1,306,166,12,1,1,3,4,24,341,9,0.6784765863406903,0.9992988041250243,0,0
Monica Evans,rmiller@example.com,434,202,1,3,3,4,2,12,284,5,1.0858928590323382,1.1274269399067631,3,247,187,12,4,1,4,6,20,332,7,1.1729198094523552,1.372123498570944,4,1
Catherine Walters,kellerphilip@example.com,308,193,14,4,1,3,3,20,261,1,0.8138979377523137,1.9301081313773767,1,292,168,6,3,4,9,5,18,312,6,1.5856803774586488,1.6405631624254047,2,1
Frederick Romero,hillnicole@example.net,304,201,1,4,3,8,3,21,283,3,1.5671597947941953,1.0893965504698822,3,385,207,9,2,1,3,5,22,324,0,1.859675954441722,1.193345308406941,2,0
Benjamin Holmes,george49@example.org,195,201,11,3,4,9,5,28,259,8,1.079105809080024,1.864276384343928,1,289,177,14,4,0,2,2,15,270,4,1.946837627779007,1.92372664254609,4,0
Latasha Zamora,racevedo@example.net,251,222,7,4,3,5,4,29,179,8,1.7623076735591865,1.6984342803935915,1,240,190,8,1,0,8,5,12,281,8,1.7502140672438593,1.2277808671952235,4,1
Jennifer Rose,coleemily@example.net,310,137,1,4,0,5,3,28,366,3,1.6852117905316837,1.2471164310709717,2,307,172,14,3,2,4,3,3,315,1,0.8988300021143892,0.6990690060421794,2,0
Gerald Burton,qrodriguez@example.net,292,171,4,2,3,0,4,10,232,5,1.6560097947675052,1.6806913314004666,2,311,159,4,2,3,5,3,27,274,5,1.0131206346991983,0.5779030815506545,3,0
Mr. Travis Harris,carriedougherty@example.com,270,214,1,4,2,9,1,7,380,2,1.9260050698726623,0.5401421663580954,0,281,202,13,4,4,4,6,18,260,1,1.5512476123772652,1.6470103264157618,4,1
Shawn Lloyd,john40@example.net,329,232,6,0,0,8,1,24,288,0,1.363995027261177,1.7177536013975074,1,351,171,7,4,0,4,2,3,318,5,0.9013169328858909,0.7934513867545177,0,0
John Spencer,mary53@example.net,330,138,13,4,2,5,3,14,338,9,1.2910654880754289,1.3888957885414175,2,225,224,9,2,3,6,5,2,302,3,0.9081313555500155,0.7791346658094471,4,0
Samuel Gutierrez,williamsamanda@example.net,253,228,4,3,0,5,3,26,278,9,1.3123824082235154,0.6561981740253922,4,266,183,2,0,3,9,3,20,345,9,1.7313027551821414,1.8711996555678856,2,0
Alexandra Nelson,xrivas@example.net,285,194,6,0,1,0,3,7,302,9,1.723674691280184,1.0787821126905017,1,209,243,10,1,0,3,5,27,257,3,1.4466112254292385,1.7562824709452562,0,0
Mark Fleming,leslie10@example.org,411,171,12,4,3,3,4,25,286,1,1.575190715368893,0.8231376051585648,4,398,160,7,2,3,7,6,8,238,1,1.2954093768058925,1.0311226724769156,3,1
Carol Richardson,cwilliams@example.com,296,220,2,0,1,0,5,18,343,2,1.203689697466019,0.7618299490861402,0,312,151,14,0,1,0,1,5,304,9,0.8509394465255903,0.5302215720419015,3,0
Laurie Taylor,lisa51@example.net,313,171,8,2,0,2,6,5,349,4,0.9332605587126981,1.9379641299950994,2,317,171,4,2,1,8,6,16,316,2,1.6705703643111671,1.509539179604807,3,1
Jordan Rojas,mirandadavid@example.net,324,216,4,0,0,6,2,10,382,8,1.999640970287052,0.6517648018000208,0,311,203,13,0,0,9,2,26,285,8,1.1719511984920148,1.7240800053132543,0,0
Bryan Nichols,omedina@example.net,314,224,6,3,0,3,2,12,197,1,1.0955901476552854,1.8560557909346436,4,391,204,12,0,0,4,2,20,266,6,1.1970469736477551,1.349500063148974,4,0
Jaime Randall,david30@example.com,290,209,13,2,3,0,5,23,262,3,1.0534030275146808,1.714348856886692,3,247,150,13,4,4,7,4,2,460,1,1.0633252637968593,0.9450901731385107,1,0
Rachel Roth,jefferydavis@example.com,263,153,2,4,3,5,3,14,269,9,1.0333075423692568,1.336008371492099,3,307,163,10,2,4,9,1,21,176,5,1.387989134298348,1.4705119366419372,1,1
Andrew Vance,khendricks@example.org,210,147,4,3,2,5,6,19,309,6,1.0443820779784017,1.6805590297870325,1,295,185,9,1,2,3,1,19,340,8,0.8594665822809742,0.7934328616959536,4,0
Tiffany Jacobs,xwatson@example.com,131,216,13,3,1,1,6,11,258,7,1.1714391808128748,0.5663569069864435,3,300,245,11,3,2,4,1,29,280,3,0.5994730329799711,1.5657745901041429,2,1
William Nelson,johnbryant@example.com,161,160,4,1,0,7,3,7,320,2,0.9572382117747193,1.6834368568487306,0,247,114,14,1,1,2,1,27,307,0,1.1014956915424752,1.9061038891925006,4,1
Mark Spence,theresa70@example.net,345,208,10,3,2,0,2,22,285,2,1.414381289232776,1.538077869314305,3,249,156,13,3,0,9,6,22,375,6,0.7506955870137166,1.0630986566998133,3,0
Elizabeth Casey,fwalsh@example.org,327,209,9,2,4,0,5,3,389,4,1.1428517973161731,1.4986934623850892,0,296,230,11,0,2,4,2,15,253,2,1.2811227397511722,0.8668879891679986,1,0
Terri Kennedy,onealkimberly@example.com,281,218,4,2,2,0,3,5,310,8,1.9156553573090958,1.162906709827579,3,388,230,13,3,0,7,2,8,295,0,0.9039001046157604,1.0104497545064293,0,0
Emily Stevenson,icardenas@example.net,304,155,3,1,2,3,6,27,379,7,1.1145630790817986,0.870966221357752,2,336,208,1,0,3,7,6,11,245,3,0.5825694438771553,1.357979625422353,3,1
Amber Hicks,vmcconnell@example.com,348,183,1,3,0,9,4,13,311,1,1.8851564150763855,0.7827610670460454,4,266,253,2,4,0,7,3,4,250,8,1.8319802760600443,0.7212673879804505,3,0
Gloria Bird,charles57@example.net,326,237,2,1,1,7,6,2,442,1,0.5597508425165627,0.937920398748058,0,211,185,6,2,2,9,4,5,390,1,0.892879062040147,1.331742429001523,3,1
Angela Nguyen,mcbridejohn@example.net,217,204,7,3,0,6,4,3,322,2,1.8190105320676953,1.0008122022363137,1,325,172,12,2,4,2,1,6,200,2,1.3564302890400401,1.0508243832794368,4,0
Katherine Dominguez,laurenburns@example.com,316,219,9,3,3,7,6,4,279,5,0.5350883162760325,1.493016873226541,0,259,230,6,1,4,2,5,28,226,9,1.2862860992041818,1.0969075303993838,1,1
Carlos Jones,jon98@example.org,241,183,13,2,2,1,3,20,294,8,0.6308745266878646,1.963175647421913,3,341,251,4,0,4,8,5,10,363,9,1.9332825882098472,1.9618778273349167,0,0
Charles Leonard,wmurray@example.net,263,244,4,0,2,4,3,1,356,6,0.5914249433740524,0.8239562295124998,1,274,169,5,0,1,8,2,22,384,6,0.7809208667777507,0.7760087367671304,0,1
Jennifer Schwartz,bryanbenjamin@example.com,372,174,5,1,2,3,3,0,252,0,1.6624719410986173,1.0851871599279663,4,230,184,4,3,1,5,6,12,307,4,0.8954496272446602,0.8634138591867979,3,1
Alexander Martin,nmartinez@example.net,307,190,10,3,4,2,5,17,349,8,1.2449877995559147,1.4816663081110937,4,227,189,14,3,4,5,1,7,417,0,1.2339321970186072,0.6093591784600216,2,1
Amy West,htorres@example.com,387,206,12,4,0,9,6,4,340,1,1.2789474656113524,1.2130777646394522,2,285,156,7,1,0,4,1,28,360,9,1.666014914417561,0.7824083676544485,3,1
Jimmy Gray,ythomas@example.org,341,188,10,1,2,3,3,26,274,2,1.633231431140113,1.439647511465071,1,328,227,4,4,0,8,2,22,334,9,1.3593320244282188,1.5414085298998836,0,0
Alison Norris,frazierjohn@example.org,328,227,14,1,0,9,1,20,232,2,0.9204488649342142,1.76764388295708,2,345,229,2,4,2,2,2,21,306,3,1.1697807388100805,1.5549265776870334,2,0
Calvin Rodriguez,jared39@example.net,231,192,9,1,0,8,6,4,265,5,1.5418544802880305,1.3830719922914085,4,315,209,8,1,0,5,4,23,260,5,0.6916628606645987,1.5236882919531243,1,1
Heather Smith,jasminethompson@example.org,299,211,12,2,3,9,1,3,175,2,0.8297362798244945,1.6681376861294814,1,302,198,3,1,3,7,6,26,358,6,1.9411211854534942,1.321878028324958,2,1
Emily Alvarez,guerrerogabriella@example.com,299,221,14,2,4,9,1,0,311,0,1.7236828297609024,1.789440201135418,4,360,217,1,2,3,5,3,18,329,5,1.6818208892982178,1.2671698227738637,2,0
Dr. Samantha Burns,mcollins@example.org,216,233,14,1,1,3,2,10,375,7,0.8822142778547374,1.8794014596446582,0,321,164,10,4,0,5,1,25,336,8,0.9691050232527297,0.7505285095337415,1,1
Rachael Stout,harrismark@example.net,247,209,7,1,2,4,3,9,296,0,1.670429047162193,1.6895004854810778,3,352,159,13,1,3,9,4,7,274,5,1.6581260201449455,0.668333438254157,3,0
Mr. Matthew Leonard,bridgetyork@example.com,301,190,4,3,4,5,1,0,245,3,1.5681645139723324,0.5143434767196419,1,278,214,10,4,2,5,1,0,278,4,1.0467283810614623,1.3434050355563245,1,1
Brian Thomas,nathancox@example.com,334,210,5,4,4,0,2,2,265,5,1.0721703743143671,1.956130202454613,1,343,181,7,0,3,8,1,25,307,4,0.5167614714164572,0.980284724041381,3,0
Trevor Hayes,sarah07@example.org,339,191,10,4,2,1,3,19,263,3,1.239406635228675,0.9563263226557934,2,281,158,5,4,1,3,5,11,299,2,0.8707717893736879,1.8440106356567743,3,0
Susan Hudson,ngonzalez@example.org,292,144,14,3,2,2,6,9,245,2,0.6684605270157659,1.4532730621802985,2,309,210,9,4,1,0,5,0,253,5,0.8074032165773393,0.9257027466324463,3,0
Katrina Dougherty,johnsonholly@example.org,320,213,14,3,0,3,5,20,334,3,1.7737325571994254,1.145352370080456,1,332,209,8,0,1,6,2,21,284,7,0.782619253986192,0.7610906612017609,2,0
Tyler Montoya,olsonmelissa@example.org,349,158,4,1,0,8,6,13,319,4,1.307942853920071,1.9370123250023659,3,301,206,6,4,4,9,5,27,346,6,1.7216843731860982,1.0838617323715065,0,0
Matthew Jones,jonathanmoore@example.com,280,183,4,0,3,3,3,23,298,6,1.8519860019158167,1.5965866175411323,0,377,190,14,0,4,7,3,4,315,9,1.2710040678259535,1.612805665652873,2,1
Joy Snow,nmorales@example.com,341,149,1,2,2,7,1,28,258,7,1.0698909002675299,1.1385307476380817,4,358,224,6,1,4,8,3,10,332,6,0.6715784148169851,1.677553200732328,2,0
William Meyer,deannahansen@example.com,304,199,10,1,2,9,5,25,320,2,1.210203862401846,0.541720619276042,0,284,183,2,3,3,1,2,11,322,1,1.1635385797644577,0.9440233794015094,1,1
Carlos Williams,trujillocynthia@example.org,344,188,11,2,4,9,6,6,282,1,0.7676453113818829,1.797713804757361,4,297,203,6,3,0,7,5,25,247,3,0.5571168391349425,1.1482096424061083,3,0
Sophia Perez,kfry@example.org,200,250,13,2,0,0,5,3,355,3,1.1808288472376822,1.1498539949201967,3,190,188,11,3,0,4,2,28,224,9,1.8066980995555693,1.344541057180284,4,0
Jody Valdez,eturner@example.org,306,206,2,0,3,6,4,5,255,4,1.7316271850474512,1.2855004325482122,3,369,251,9,1,0,4,1,1,286,8,1.2524461078908502,0.8314180055135871,0,0
Hannah Thornton,gshepard@example.com,252,155,9,3,0,5,5,28,359,3,1.0306486038881855,1.3236924895220472,4,317,174,11,1,1,8,6,18,302,9,0.799270282249878,1.8756587061070928,3,1
Kathy Wood,jonesjermaine@example.org,332,172,9,1,0,2,3,3,241,4,1.505014303491437,0.5476972118196404,4,265,230,3,2,2,0,4,0,279,1,1.2339960965517478,0.9026218900861014,4,0
Crystal Scott,derrickreynolds@example.net,279,261,13,4,2,8,2,9,330,9,0.7254561643515833,1.2247434312780219,2,354,155,4,2,1,6,1,4,394,7,1.2307697441528547,0.8769687979241914,4,1
Gabriella Bowman,mary03@example.org,321,237,6,1,1,4,2,25,256,8,1.0818266563883823,1.3240422449057079,1,297,188,5,0,2,8,4,11,365,6,1.6753520129306363,1.1949462929686183,0,0
Diane Hart,whitematthew@example.com,269,142,2,0,2,2,5,13,348,5,1.3980156907809123,1.0542550814642455,4,218,230,9,3,1,7,4,17,349,8,0.5601606481642477,1.5545328509545875,0,1
Cesar Schultz,mwilliams@example.com,278,205,14,3,1,2,2,27,236,3,1.877352633580927,1.7235042124410427,3,251,208,10,2,1,2,6,0,366,3,1.0918005313901897,1.03600145010361,2,1
Brooke Pugh,marie20@example.com,315,190,13,0,1,3,5,18,387,5,1.3125584652034732,1.0032126631325335,4,369,175,14,3,4,6,5,7,260,3,0.7706358915817205,1.5000250307123895,2,1
Whitney Dixon,brianparrish@example.com,336,204,10,4,2,4,6,21,269,3,1.3789525084163912,1.7170902776981614,4,353,202,6,3,4,9,1,19,322,5,1.0590322001827834,1.5884064912804239,2,0
Sherry Meyer,oross@example.net,292,184,2,1,3,6,3,25,245,8,1.491794218376201,0.7498018255618364,2,273,173,1,0,1,6,2,3,277,6,1.476450723467769,0.5557078768530413,2,0
Cassandra Sanchez,jcarter@example.org,207,201,4,1,0,6,2,29,282,9,1.7263606858562928,1.0469148131376977,4,292,256,10,3,2,8,2,0,269,2,1.9485428175036215,1.7092225411200017,4,0
Howard Smith,jlee@example.com,306,217,8,1,3,6,1,18,243,9,0.9133753687540771,0.6709315814988428,3,350,221,12,0,3,1,1,12,251,6,0.9979788315828317,1.357733413091102,1,0
Alejandra Lambert,ineal@example.org,291,181,1,1,2,6,3,2,313,0,1.2832593836719939,0.8803458557105698,1,390,182,5,1,2,1,5,27,346,9,1.285923934449352,1.4743703386991753,0,1
Eric Wilkinson,sethhays@example.org,331,177,11,4,3,5,5,7,291,8,1.6198600788801343,1.0410513058990225,1,239,161,1,4,4,8,3,15,270,5,1.609487156121268,1.7704705055536325,2,1
Teresa Caldwell,tamara26@example.net,377,226,10,4,0,3,5,20,324,9,1.788521242343151,0.5824246230265884,0,383,175,6,3,3,1,4,11,254,6,0.5252500121458022,1.454106812566006,2,1
David Grimes,jensencurtis@example.org,271,234,11,2,4,8,5,28,174,4,1.7800576115876536,0.5534559651790372,1,250,176,11,4,2,0,5,16,358,4,1.9140185111412644,1.2345455083514194,4,0
Christopher Johnson,amandapowers@example.com,267,271,9,3,2,2,1,13,256,6,1.5431427783308567,0.6515301006002826,4,375,182,2,1,1,0,2,9,307,7,0.6230631240404989,0.7586250830530532,1,1
Shawn Anderson,thompsonteresa@example.org,340,233,12,2,2,5,6,6,194,1,0.6754839702086068,1.5329157186444178,2,393,215,10,3,3,1,1,15,314,8,0.662128599550226,1.3830759584219687,1,0
Donald Parks,carol45@example.net,319,159,9,4,1,9,4,0,205,3,0.7544636712345059,1.1457694008256387,3,354,181,11,1,4,5,4,28,252,7,0.7913400180473789,1.6838442625837433,0,1
Rachael Pennington,marcusbaker@example.com,362,219,5,0,0,5,3,6,335,4,1.2809760268271924,1.8153565416557536,2,254,173,7,2,3,3,4,13,307,8,1.3554779818728073,1.19415752124592,2,0
Jacqueline Ballard,bonniehill@example.com,276,200,11,4,2,3,4,24,361,9,0.8591158976903266,1.7755899907495138,2,252,165,10,4,0,1,6,2,289,2,1.004031655358559,1.37417664362978,0,0
Molly Miller,stephanie61@example.com,340,227,5,2,4,2,6,19,349,1,1.828945101192204,1.071164982374325,3,280,192,13,1,4,4,5,10,308,1,0.7168858936059821,1.010738854183145,3,0
Samuel Carr,christinesantiago@example.com,322,231,8,1,3,1,3,8,331,2,1.763931688221375,1.516522490512041,4,336,179,13,2,4,2,4,19,300,3,1.0579796195707565,0.5467801980294884,1,1
Daniel Hoffman,ljackson@example.com,416,200,4,4,1,9,6,10,368,1,1.2435354570176385,1.3853263247511145,4,364,214,6,1,1,6,4,9,263,7,0.9392405509526036,1.6168199447078213,4,1
Timothy Jones,tweber@example.org,379,206,12,4,0,2,6,13,300,8,0.854379751997434,1.244176482058678,0,233,214,4,0,1,9,1,5,399,8,1.7796343174213387,0.5201524892494569,0,1
Marcia Bennett,tonycopeland@example.org,284,185,2,0,4,2,5,15,337,9,1.357494716702075,1.907431250880745,1,292,226,2,3,4,2,2,14,274,3,0.7600530219362955,1.058019035473227,4,1
Rachel Marshall,vgeorge@example.net,249,255,13,3,0,8,2,13,238,2,1.2659715106186247,1.82574074747092,2,242,173,4,2,2,5,6,12,294,1,1.2332495883249155,1.0096246583663087,4,0
Julie Medina DVM,bethporter@example.org,289,188,7,0,3,3,6,21,332,6,1.406782362658161,0.8456637313326381,4,269,190,1,1,2,9,1,21,257,5,1.6459401241795784,1.7017439860605041,4,0
Andrea Smith,michael84@example.com,308,149,12,3,1,1,3,7,308,7,1.1978352428614545,1.6484346879159402,0,371,241,5,1,4,0,5,18,235,1,1.524002296610992,1.9096455714668663,2,0
Thomas Thomas,louismcdonald@example.net,354,232,7,0,4,9,2,10,300,5,1.118485164230886,1.895640411363328,1,192,176,1,4,4,5,5,7,343,2,1.1153930595100225,1.0388155297449644,2,0
Dana Werner,patricklyons@example.net,375,263,10,0,4,9,6,5,228,8,1.0522790755827611,1.7074141215417453,2,347,226,13,0,1,0,3,21,319,5,0.8348702859518047,1.1116545402964086,4,1
Ashley Cole,scottlarson@example.com,321,156,11,3,2,4,5,19,267,1,0.9456413589291374,1.4486905219646573,0,195,203,11,2,1,6,5,19,288,7,0.8999544608902721,1.0880585175658577,2,1
Joshua Johnson,blewis@example.org,309,197,9,4,3,4,5,28,330,7,1.6730733642967752,0.8647348875555846,4,297,206,1,4,3,8,1,24,298,4,1.3071023786790106,1.4096016545095629,2,0
John King,nbrown@example.org,297,198,9,4,2,5,1,21,311,0,1.476912210039947,1.6582170042641013,4,324,206,12,2,0,3,1,10,294,4,1.0623702467181375,0.7485533612775297,3,0
Jennifer Ward,gabriela04@example.com,264,194,7,1,0,1,6,15,251,7,1.3425545319015932,1.570447726319447,3,316,175,14,1,3,7,2,3,331,3,1.9048183744975948,1.1173734124361523,4,1
